Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A06,8,1.984,2.484,0.2528902710061919,0.3251007069745544,0.24538295455887402,0.24286998515485084,0.28623256381672263
A06,9,2.232,2.732,0.2625756173503337,0.3137975638579928,0.24288830913591178,0.26066475793080546,0.308925293097005
A06,10,2.48,2.98,0.2594659012407088,0.2803762901745971,0.2572322652496988,0.2870114795495611,0.33019039525829263
A06,11,2.728,3.228,0.26496401643378853,0.29013048817571446,0.2740111502902137,0.29637144275913135,0.3320433560866045
A06,12,2.976,3.476,0.2703890127532803,0.2708553374793388,0.29862107069445365,0.3050354680015491,0.3282085721474223
A06,13,3.224,3.724,0.2703839305095455,0.27430788557099633,0.307365423851882,0.29280496939934286,0.3318059993506737
A06,14,3.472,3.972,0.29055480686574015,0.29967122551839176,0.3141868080690302,0.29196455078643735,0.3411445223266221
A07,0,0.0,0.5,0.2255101056315273,0.2777315431824129,0.32169722411422846,0.14749258764582981,0.08232557821751085
A07,1,0.248,0.748,0.17603700971319605,0.24860451682960033,0.27431502774313543,0.13295979409621542,0.07823543767844701
A07,2,0.496,0.996,0.17552451295374968,0.25472672471562885,0.27868003532860197,0.13296536833210842,0.08575483323113672
A07,3,0.744,1.244,0.18865551042076967,0.26440896814359854,0.29131541528618027,0.13674475326423804,0.08926751590855003
A07,4,0.992,1.492,0.19308014805044255,0.2584509791124488,0.288544384538086,0.14514504211436488,0.08712548220132098
A07,5,1.24,1.74,0.18202567454131222,0.24166373864369817,0.26914568303203945,0.14085699394834608,0.08470535022033883
A07,6,1.488,1.988,0.18719103292036682,0.2366034707552331,0.2737456638799274,0.14074206104217588,0.08503655955023277
A07,7,1.736,2.236,0.20785702362932754,0.2619946382450372,0.28268967298313147,0.15155048300024884,0.08259495083881845
A07,8,1.984,2.484,0.20002610959630485,0.2898858106345027,0.26882873244307237,0.13992318062486847,0.06559465745854652
A07,9,2.232,2.732,0.1949301733022004,0.25798145744912054,0.2894550558982686,0.16357597948291674,0.06505514651828558
A07,10,2.48,2.98,0.21898706014450062,0.23077279084171354,0.3333103167384241,0.1899678356470408,0.09723929231698904
A07,11,2.728,3.228,0.22351241747452968,0.24522975016973733,0.31497363025988656,0.19179150289955754,0.10727401697170584
A07,12,2.976,3.476,0.2088454558343901,0.23655016882349572,0.30097885244034656,0.17579260144912337,0.09747339825034489
A07,13,3.224,3.724,0.20099572806619712,0.2294510722487858,0.2986216129445175,0.17486514768320724,0.10167702541106272
A07,14,3.472,3.972,0.21981770722977434,0.23899289854383385,0.31197296061683916,0.19111642608985133,0.10814956119294906
A08,0,0.0,0.5,0.4382494905466884,0.3957602391972634,0.35689083933715077,0.5237042770607516,0.5947460911880552
A08,1,0.248,0.748,0.4301024273392932,0.3375665568827285,0.33681532903426664,0.5637486506790476,0.6621507756041378
A08,2,0.496,0.996,0.48044579208582283,0.3418884762897057,0.39717537640962947,0.6031484660953566,0.7257662373379669
A08,3,0.744,1.244,0.5095079443071632,0.3665996658964498,0.4116820473487875,0.6256141757081675,0.7421407655703998
A08,4,0.992,1.492,0.5075427140803184,0.3543186031373957,0.4100853717198793,0.6289964303002795,0.7655682131183884
A08,5,1.24,1.74,0.5074456957844441,0.34525639211740883,0.3987288404149651,0.6365555930865477,0.7787212281455747
A08,6,1.488,1.988,0.5094587725222987,0.36233131763174375,0.3864553975809973,0.6519806460675026,0.781066980794451
A08,7,1.736,2.236,0.48974124961727955,0.3545927909290228,0.3544690898063922,0.6489021472959718,0.7709076659788152
A08,8,1.984,2.484,0.4384695936664901,0.2989028022834438,0.3447452664078448,0.583372764952601,0.7098521873038358
A08,9,2.232,2.732,0.4638960103119968,0.2966420938753254,0.3876440080270352,0.5873963411874924,0.6956687587342727
A08,10,2.48,2.98,0.5182065361760912,0.33631896370201286,0.4259700309334784,0.6416004894839155,0.7507536790404612
A08,11,2.728,3.228,0.5208904074943533,0.33704948160416404,0.4371624715516086,0.6493177657713367,0.7651964711536474
A08,12,2.976,3.476,0.5190094990047232,0.33461795368437064,0.42794238089301406,0.6560818693910534,0.7830995114683938
