Subject,Band,Channel,R2,R2_percent
A06,Alpha_Mu,C3,0.20653996523218188,20.653996523218186
A06,Alpha_Mu,C1,0.34921761083369585,34.92176108336958
A06,Alpha_Mu,Cz,0.45421980655293215,45.42198065529321
A06,Alpha_Mu,C2,0.44026778889105334,44.02677888910533
A06,Alpha_Mu,C4,0.3247190895554155,32.47190895554155
A06,Alpha_Mu,C6,0.4302827411532345,43.02827411532345
A06,Beta,C5,0.37350100299441136,37.35010029944114
A06,Beta,C3,0.3174814290103226,31.74814290103226
A06,Beta,C1,0.3745376952936268,37.45376952936268
A06,Beta,Cz,0.3846039379254017,38.460393792540174
A06,Beta,C2,0.3874501138172606,38.74501138172606
A06,Beta,C4,0.3362592878346159,33.62592878346159
A06,Beta,C6,0.4356193028286023,43.56193028286023
A06,Gamma,C5,0.5126216679651618,51.26216679651618
A06,Gamma,C3,0.5822944255758082,58.229442557580825
A06,Gamma,C1,0.5812945778590981,58.12945778590981
A06,Gamma,Cz,0.5488197381749531,54.88197381749531
A06,Gamma,C2,0.581685055363937,58.1685055363937
A06,Gamma,C4,0.575525595460568,57.552559546056806
A06,Gamma,C6,0.5403054577025006,54.03054577025006
A07,Delta,C5,0.6311353137050575,63.11353137050575
A07,Delta,C3,0.5601158368486419,56.011583684864185
A07,Delta,C1,0.5150997848123208,51.509978481232075
A07,Delta,Cz,0.5145208419290748,51.45208419290748
A07,Delta,C2,0.5946296392496426,59.462963924964264
A07,Delta,C4,0.6734648870131303,67.34648870131304
A07,Delta,C6,0.7739788101829917,77.39788101829917
A07,Theta,C5,0.2364655483182777,23.64655483182777
A07,Theta,C3,0.2161613362638778,21.61613362638778
A07,Theta,C1,0.20937956856825513,20.93795685682551
A07,Theta,Cz,0.2104180140767855,21.041801407678552
A07,Theta,C2,0.26504581601453603,26.5045816014536
A07,Theta,C4,0.3346020838069481,33.46020838069481
A07,Theta,C6,0.45163041802312975,45.163041802312975
A07,Alpha_Mu,C5,0.2204551312303833,22.04551312303833
A07,Alpha_Mu,C3,0.25262557332342306,25.262557332342304
A07,Alpha_Mu,C1,0.3268538153962761,32.68538153962761
A07,Alpha_Mu,Cz,0.3775034018842174,37.75034018842174
A07,Alpha_Mu,C2,0.4163674628938949,41.63674628938949
A07,Alpha_Mu,C4,0.436412465235835,43.6412465235835
A07,Alpha_Mu,C6,0.5170661300874871,51.70661300874871
A07,Beta,C5,0.14997402443990193,14.997402443990193
A07,Beta,C3,0.11824787516674162,11.824787516674162
A07,Beta,C1,0.14913962927533786,14.913962927533786
A07,Beta,Cz,0.1594025592283832,15.94025592283832
A07,Beta,C2,0.2168731199187438,21.68731199187438
A07,Beta,C4,0.24698739951644966,24.698739951644967
A07,Beta,C6,0.32312706355839393,32.312706355839396
A07,Gamma,C5,0.15533563627651437,15.533563627651436
A07,Gamma,C3,0.09742831965161391,9.742831965161391
