Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A06,4,0.992,1.492,0.2463615585719472,0.2867551660262936,0.2817310456602677,0.2476492743352635,0.3197029799372007
A06,5,1.24,1.74,0.253895464062076,0.2812983717638707,0.2878416558810092,0.2500471609041506,0.3080469800411358
A06,6,1.488,1.988,0.2612646042525791,0.2903334930476717,0.277622795680669,0.2785207589816987,0.3074044991251617
A06,7,1.736,2.236,0.2564432984051948,0.2991793279257602,0.2696897122419627,0.27070346485197,0.296225138739756
A06,8,1.984,2.484,0.2528902710061919,0.3251007069745544,0.245382954558874,0.2428699851548508,0.2862325638167226
A06,9,2.232,2.732,0.2625756173503337,0.3137975638579928,0.2428883091359117,0.2606647579308054,0.308925293097005
A06,10,2.48,2.98,0.2594659012407088,0.2803762901745971,0.2572322652496988,0.2870114795495611,0.3301903952582926
A06,11,2.728,3.228,0.2649640164337885,0.2901304881757144,0.2740111502902137,0.2963714427591313,0.3320433560866045
A06,12,2.976,3.476,0.2703890127532803,0.2708553374793388,0.2986210706944536,0.3050354680015491,0.3282085721474223
A06,13,3.224,3.724,0.2703839305095455,0.2743078855709963,0.307365423851882,0.2928049693993428,0.3318059993506737
A06,14,3.472,3.972,0.2905548068657401,0.2996712255183917,0.3141868080690302,0.2919645507864373,0.3411445223266221
A07,0,0.0,0.5,0.2255101056315273,0.2777315431824129,0.3216972241142284,0.1474925876458298,0.0823255782175108
A07,1,0.248,0.748,0.176037009713196,0.2486045168296003,0.2743150277431354,0.1329597940962154,0.078235437678447
A07,2,0.496,0.996,0.1755245129537496,0.2547267247156288,0.2786800353286019,0.1329653683321084,0.0857548332311367
A07,3,0.744,1.244,0.1886555104207696,0.2644089681435985,0.2913154152861802,0.136744753264238,0.08926751590855
A07,4,0.992,1.492,0.1930801480504425,0.2584509791124488,0.288544384538086,0.1451450421143648,0.0871254822013209
A07,5,1.24,1.74,0.1820256745413122,0.2416637386436981,0.2691456830320394,0.140856993948346,0.0847053502203388
A07,6,1.488,1.988,0.1871910329203668,0.2366034707552331,0.2737456638799274,0.1407420610421758,0.0850365595502327
A07,7,1.736,2.236,0.2078570236293275,0.2619946382450372,0.2826896729831314,0.1515504830002488,0.0825949508388184
A07,8,1.984,2.484,0.2000261095963048,0.2898858106345027,0.2688287324430723,0.1399231806248684,0.0655946574585465
A07,9,2.232,2.732,0.1949301733022004,0.2579814574491205,0.2894550558982686,0.1635759794829167,0.0650551465182855
A07,10,2.48,2.98,0.2189870601445006,0.2307727908417135,0.3333103167384241,0.1899678356470408,0.097239292316989
A07,11,2.728,3.228,0.2235124174745296,0.2452297501697373,0.3149736302598865,0.1917915028995575,0.1072740169717058
A07,12,2.976,3.476,0.2088454558343901,0.2365501688234957,0.3009788524403465,0.1757926014491233,0.0974733982503448
A07,13,3.224,3.724,0.2009957280661971,0.2294510722487858,0.2986216129445175,0.1748651476832072,0.1016770254110627
