Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Beta_Power,Clean_Beta_Power,Delta_Beta_Power,Delta_Beta_Percent,Hand_Raw_Beta,Hand_Clean_Beta,Hand_Delta_Beta_Percent,NonHand_Raw_Beta,NonHand_Clean_Beta,NonHand_Delta_Beta_Percent,Delta_Accuracy,Delta_F1
A03,C4,0.7000000000000001,1.2000000000000002,0.9500000000000002,24.251286332351732,9.459645952904093,-14.791640379447639,-60.99321981001592,23.75772239315895,9.423471721597814,-60.335121500067245,24.748479418156226,9.496086171205274,-61.62961767970819,-0.00366300366300365,-0.001569319265132707
A03,C4,0.8,1.3,1.05,23.539764620761233,9.416629014429503,-14.12313560633173,-59.99692789568349,24.4787775486142,9.548654186812568,-60.99211176763547,22.593847186085814,9.283633068720091,-58.910791100519965,-0.00366300366300365,-0.001569319265132707
A03,C4,0.9,1.4,1.15,25.552545631117304,10.338102400750348,-15.214443230366957,-59.54179066933807,27.33905089072749,10.669952207151645,-60.9717533728629,23.752904303421747,10.003812522243159,-57.88383435367081,-0.00366300366300365,-0.001569319265132707
A03,C4,1.0,1.5,1.25,24.29468053653007,9.804025378177803,-14.490655158352267,-59.64538260366818,25.007242554581527,9.945125541142657,-60.231018996052285,23.5768790918753,9.661887714014682,-59.01964939310304,-0.00366300366300365,-0.001569319265132707
A03,C4,1.1,1.6,1.35,21.505728682742063,8.540075671442127,-12.965653011299937,-60.28929873789687,22.004425176781222,8.605348515321984,-60.89264570109183,21.00336530271733,8.474322880180802,-59.65254730352936,-0.00366300366300365,-0.001569319265132707
A03,C4,1.2000000000000002,1.7000000000000002,1.4500000000000002,24.294174394743532,9.486560529754387,-14.807613864989145,-60.95129484290287,25.214034591734055,9.613763739047702,-61.87137879869732,23.367550519833955,9.35842200274568,-59.951206718040815,-0.00366300366300365,-0.001569319265132707
A03,C4,1.3,1.8,1.55,23.376141533319956,9.167634714286136,-14.20850681903382,-60.782087577546775,25.425309810236325,9.6678809301271,-61.97536626973657,21.31190584260273,8.663710217446342,-59.34802695999393,-0.00366300366300365,-0.001569319265132707
A03,C4,1.4000000000000001,1.9000000000000001,1.6500000000000001,23.04645500900999,9.051063530816299,-13.99539147819369,-60.72687306018304,24.83694066066162,9.749148913008334,-60.74738412348154,21.242804021684453,8.347845167872853,-60.702715331971,-0.00366300366300365,-0.001569319265132707
A03,C4,1.5,2.0,1.75,20.629544637727687,8.227483716528939,-12.402060921198748,-60.1179577106013,21.302329217384283,8.710357078260497,-59.1107761532847,19.95181311263244,7.741059815372885,-61.20122130418486,-0.00366300366300365,-0.001569319265132707
A03,C4,1.6,2.1,1.85,20.58640583709574,8.064676752307754,-12.521729084787985,-60.82523187328026,21.398254309726134,8.829664593500071,-58.73651903703785,19.768587890401886,7.294064000518436,-63.102756550153615,-0.00366300366300365,-0.001569319265132707
A03,C4,1.7000000000000002,2.2,1.9500000000000002,20.53347632245802,8.193678770533888,-12.339797551924134,-60.095998155109086,20.327425587932666,8.546033472376854,-57.95811213078459,20.74104213591371,7.838733225295018,-62.20665685972438,-0.00366300366300365,-0.001569319265132707
A03,C4,1.8,2.3,2.05,23.281176456379725,9.409951663183278,-13.871224793196447,-59.58128799541539,22.49035482269361,9.329752900668868,-58.516648695756466,24.077812955019414,9.490740122480885,-60.583047388021235,-0.00366300366300365,-0.001569319265132707
